username,repo_name,stars,repo_url
mrdoob,three.js,97400,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,25200,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,22500,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,22000,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,18900,https://github.com/ssloy/tinyrenderer
FreeCAD,FreeCAD,16800,https://github.com/FreeCAD/FreeCAD
lettier,3d-game-shaders-for-beginners,16700,https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,16000,https://github.com/aframevr/aframe
CesiumGS,cesium,11500,https://github.com/CesiumGS/cesium
blender,blender,10800,https://github.com/blender/blender
MonoGame,MonoGame,10600,https://github.com/MonoGame/MonoGame
metafizzy,zdog,10200,https://github.com/metafizzy/zdog
isl-org,Open3D,10100,https://github.com/isl-org/Open3D
timzhang642,3D-Machine-Learning,9300,https://github.com/timzhang642/3D-Machine-Learning
nerfstudio-project,nerfstudio,8000,https://github.com/nerfstudio-project/nerfstudio
a1studmuffin,SpaceshipGenerator,7500,https://github.com/a1studmuffin/SpaceshipGenerator
domlysz,BlenderGIS,7100,https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,7000,https://github.com/FyroxEngine/Fyrox
google,model-viewer,6300,https://github.com/google/model-viewer
openscad,openscad,6200,https://github.com/openscad/openscad
