username,repo_name,stars,repo_url
jwasham,coding-interview-university,278000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,180000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,176000,https://github.com/TheAlgorithms/Python
CyC2018,CS-Notes,170000,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,107000,https://github.com/yangshun/tech-interview-handbook
krahets,hello-algo,62000,https://github.com/krahets/hello-algo
kdn251,interviews,61200,https://github.com/kdn251/interviews
TheAlgorithms,Java,55700,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,53300,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,45800,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,45100,https://github.com/youngyangyang04/leetcode-master
huihut,interview,31900,https://github.com/huihut/interview
halfrost,LeetCode-Go,31400,https://github.com/halfrost/LeetCode-Go
TheAlgorithms,JavaScript,30600,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,28500,https://github.com/TheAlgorithms/C-Plus-Plus
donnemartin,interactive-coding-challenges,28400,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27000,https://github.com/crossoverJie/JCSprout
keon,algorithms,23300,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,22500,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,22300,https://github.com/trekhleb/homemade-machine-learning
