username,repo_name,stars,repo_url
arendst,Tasmota,21000,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,15700,https://github.com/MarlinFirmware/Marlin
tinygo-org,tinygo,14100,https://github.com/tinygo-org/tinygo
arduino,Arduino,13900,https://github.com/arduino/Arduino
rwaldron,johnny-five,13200,https://github.com/rwaldron/johnny-five
SpacehuhnTech,esp8266_deauther,12600,https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,12100,https://github.com/espressif/arduino-esp32
gurugio,lowlevelprogramming-university,9300,https://github.com/gurugio/lowlevelprogramming-university
hybridgroup,gobot,8600,https://github.com/hybridgroup/gobot
platformio,platformio-core,7400,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,6500,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,6200,https://github.com/tzapu/WiFiManager
olikraus,u8g2,4600,https://github.com/olikraus/u8g2
ClemensElflein,OpenMower,4200,https://github.com/ClemensElflein/OpenMower
Arduino-IRremote,Arduino-IRremote,4200,https://github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,4100,https://github.com/arduino/arduino-cli
justcallmekoko,ESP32Marauder,4100,https://github.com/justcallmekoko/ESP32Marauder
hybridgroup,cylon,4000,https://github.com/hybridgroup/cylon
Serial-Studio,Serial-Studio,3900,https://github.com/Serial-Studio/Serial-Studio
blynkkk,blynk-library,3800,https://github.com/blynkkk/blynk-library
