username,repo_name,stars,repo_url
atom,atom,59900,https://github.com/atom/atom
miniflux,v2,5800,https://github.com/miniflux/v2
themerdev,themer,5300,https://github.com/themerdev/themer
shd101wyy,markdown-preview-enhanced,4000,https://github.com/shd101wyy/markdown-preview-enhanced
nteract,hydrogen,3900,https://github.com/nteract/hydrogen
atom,teletype,2400,https://github.com/atom/teletype
mmcdole,gofeed,2400,https://github.com/mmcdole/gofeed
feeddd,feeds,2100,https://github.com/feeddd/feeds
NaiboWang,CommandlineConfig,2000,https://github.com/NaiboWang/CommandlineConfig
mehcode,awesome-atom,1900,https://github.com/mehcode/awesome-atom
kurtmckee,feedparser,1800,https://github.com/kurtmckee/feedparser
ocaml,merlin,1500,https://github.com/ocaml/merlin
joefitzgerald,go-plus,1500,https://github.com/joefitzgerald/go-plus
simplepie,simplepie,1500,https://github.com/simplepie/simplepie
Glavin001,atom-beautify,1500,https://github.com/Glavin001/atom-beautify
t9md,atom-vim-mode-plus,1400,https://github.com/t9md/atom-vim-mode-plus
fwcd,kotlin-language-server,1400,https://github.com/fwcd/kotlin-language-server
MagicStack,MagicPython,1400,https://github.com/MagicStack/MagicPython
file-icons,atom,1300,https://github.com/file-icons/atom
martinrotter,rssguard,1300,https://github.com/martinrotter/rssguard
