username,repo_name,stars,repo_url
sindresorhus,awesome,289000,https://github.com/sindresorhus/awesome
vinta,awesome-python,197000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,168000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,122000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,116000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,81900,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,81600,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,74400,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,69000,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,64400,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,61500,https://github.com/MunGell/awesome-for-beginners
enaqx,awesome-react,60700,https://github.com/enaqx/awesome-react
sindresorhus,awesome-nodejs,54800,https://github.com/sindresorhus/awesome-nodejs
fffaraz,awesome-cpp,53600,https://github.com/fffaraz/awesome-cpp
prakhar1989,awesome-courses,52400,https://github.com/prakhar1989/awesome-courses
binhnguyennus,awesome-scalability,51800,https://github.com/binhnguyennus/awesome-scalability
Solido,awesome-flutter,50200,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,48500,https://github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,45100,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,44500,https://github.com/tiimgreen/github-cheat-sheet
