username,repo_name,stars,repo_url
bitcoin,bitcoin,73800,https://github.com/bitcoin/bitcoin
ccxt,ccxt,30400,https://github.com/ccxt/ccxt
freqtrade,freqtrade,24300,https://github.com/freqtrade/freqtrade
bitcoinbook,bitcoinbook,22200,https://github.com/bitcoinbook/bitcoinbook
HelloZeroNet,ZeroNet,18100,https://github.com/HelloZeroNet/ZeroNet
solana-labs,solana,11400,https://github.com/solana-labs/solana
bbfamily,abu,10900,https://github.com/bbfamily/abu
askmike,gekko,10000,https://github.com/askmike/gekko
dvf,blockchain,7600,https://github.com/dvf/blockchain
lightningnetwork,lnd,7400,https://github.com/lightningnetwork/lnd
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
spesmilo,electrum,6900,https://github.com/spesmilo/electrum
yeasy,blockchain_guide,6700,https://github.com/yeasy/blockchain_guide
butor,blackbird,5800,https://github.com/butor/blackbird
btcsuite,btcd,5700,https://github.com/btcsuite/btcd
btcpayserver,btcpayserver,5700,https://github.com/btcpayserver/btcpayserver
getumbrel,umbrel,5500,https://github.com/getumbrel/umbrel
bitcoinjs,bitcoinjs-lib,5400,https://github.com/bitcoinjs/bitcoinjs-lib
UFund-Me,Qbot,5300,https://github.com/UFund-Me/Qbot
jesse-ai,jesse,5100,https://github.com/jesse-ai/jesse
