username,repo_name,stars,repo_url
CyC2018,CS-Notes,170000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,156000,https://github.com/practical-tutorials/project-based-learning
fffaraz,awesome-cpp,53600,https://github.com/fffaraz/awesome-cpp
azl397985856,leetcode,53300,https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,45100,https://github.com/youngyangyang04/leetcode-master
x64dbg,x64dbg,42700,https://github.com/x64dbg/x64dbg
Light-City,CPlusPlusThings,35600,https://github.com/Light-City/CPlusPlusThings
yuzu-emu,yuzu,33400,https://github.com/yuzu-emu/yuzu
huihut,interview,31900,https://github.com/huihut/interview
carbon-language,carbon-lang,31900,https://github.com/carbon-language/carbon-lang
CMU-Perceptual-Computing-Lab,openpose,29300,https://github.com/CMU-Perceptual-Computing-Lab/openpose
TheAlgorithms,C-Plus-Plus,28500,https://github.com/TheAlgorithms/C-Plus-Plus
microsoft,calculator,28500,https://github.com/microsoft/calculator
doocs,leetcode,27700,https://github.com/doocs/leetcode
aseprite,aseprite,25500,https://github.com/aseprite/aseprite
changkun,modern-cpp-tutorial,22700,https://github.com/changkun/modern-cpp-tutorial
dragonflydb,dragonfly,22200,https://github.com/dragonflydb/dragonfly
ethereum,solidity,21700,https://github.com/ethereum/solidity
gabime,spdlog,21500,https://github.com/gabime/spdlog
microsoft,vcpkg,20800,https://github.com/microsoft/vcpkg
