username,repo_name,stars,repo_url
Genymobile,scrcpy,98000,https://github.com/Genymobile/scrcpy
neovim,neovim,73600,https://github.com/neovim/neovim
obsproject,obs-studio,54100,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,53600,https://github.com/fffaraz/awesome-cpp
git,git,48700,https://github.com/git/git
FFmpeg,FFmpeg,40900,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,38600,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,34300,https://github.com/vim/vim
curl,curl,33200,https://github.com/curl/curl
huihut,interview,31900,https://github.com/huihut/interview
ggreer,the_silver_searcher,25500,https://github.com/ggreer/the_silver_searcher
mpv-player,mpv,25100,https://github.com/mpv-player/mpv
ossrs,srs,23700,https://github.com/ossrs/srs
google,flatbuffers,21700,https://github.com/google/flatbuffers
ruby,ruby,21300,https://github.com/ruby/ruby
kovidgoyal,kitty,21200,https://github.com/kovidgoyal/kitty
microsoft,vcpkg,20800,https://github.com/microsoft/vcpkg
hashcat,hashcat,19300,https://github.com/hashcat/hashcat
radareorg,radare2,19200,https://github.com/radareorg/radare2
jarun,nnn,17800,https://github.com/jarun/nnn
