username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,167000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,57400,https://github.com/junegunn/fzf
sherlock-project,sherlock,46600,https://github.com/sherlock-project/sherlock
sharkdp,bat,45100,https://github.com/sharkdp/bat
BurntSushi,ripgrep,43200,https://github.com/BurntSushi/ripgrep
jesseduffield,lazygit,42700,https://github.com/jesseduffield/lazygit
wagoodman,dive,42500,https://github.com/wagoodman/dive
google,zx,40000,https://github.com/google/zx
n8n-io,n8n,38300,https://github.com/n8n-io/n8n
chubin,cheat.sh,37000,https://github.com/chubin/cheat.sh
spf13,cobra,35100,https://github.com/spf13/cobra
cli,cli,34500,https://github.com/cli/cli
httpie,cli,31100,https://github.com/httpie/cli
sharkdp,fd,30700,https://github.com/sharkdp/fd
alebcay,awesome-shell,30200,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,29200,https://github.com/ibraheemdev/modern-unix
acheong08,ChatGPT,27800,https://github.com/acheong08/ChatGPT
tqdm,tqdm,27000,https://github.com/tqdm/tqdm
angular,angular-cli,26600,https://github.com/angular/angular-cli
google,python-fire,25900,https://github.com/google/python-fire
