username,repo_name,stars,repo_url
vercel,next.js,118000,https://github.com/vercel/next.js
rust-lang,rust,89800,https://github.com/rust-lang/rust
sveltejs,svelte,75300,https://github.com/sveltejs/svelte
webpack,webpack,63900,https://github.com/webpack/webpack
gatsbyjs,gatsby,54900,https://github.com/gatsbyjs/gatsby
FuelLabs,sway,48300,https://github.com/FuelLabs/sway
JetBrains,kotlin,46900,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,43000,https://github.com/parcel-bundler/parcel
babel,babel,42800,https://github.com/babel/babel
evanw,esbuild,36800,https://github.com/evanw/esbuild
vlang,v,35200,https://github.com/vlang/v
carbon-language,carbon-lang,31900,https://github.com/carbon-language/carbon-lang
markedjs,marked,31400,https://github.com/markedjs/marked
swc-project,swc,29500,https://github.com/swc-project/swc
ziglang,zig,28600,https://github.com/ziglang/zig
typst,typst,26000,https://github.com/typst/typst
vercel,pkg,24100,https://github.com/vercel/pkg
v8,v8,22300,https://github.com/v8/v8
oracle,graal,19500,https://github.com/oracle/graal
RustPython,RustPython,16800,https://github.com/RustPython/RustPython
